BENCH: alexnet
TOP: 1
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-1 time(s), Meta-1 std(s), trials-1, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-1, speedup-10k
16, 0.0002460799, 0.0000000191, 13, 0.08, 0.58, 0.0002460799, 0.0000000191, 5, 0.0000625234, 0.0000000011, 200, 1.00, 0.25
17, 0.0000023692, 0.0000000103, 12, 0.05, 0.55, 0.0000023692, 0.0000000103, 8, 0.0000022777, 0.0000000009, 39, 1.00, 0.96
TOP: 50
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-50 time(s), Meta-50 std(s), trials-50, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-50, speedup-10k
0, 0.0000996194, 0.0000001581, 23, 0.28, 2.81, 0.0000996194, 0.0000001581, 10, 0.0000943525, 0.0000001843, 873, 1.00, 0.95
1, 0.0000212549, 0.0000000497, 7, 0.03, 0.08, 0.0000212549, 0.0000000497, 1, 0.0000212549, 0.0000000497, 1, 1.00, 1.00
2, 0.0001008637, 0.0000004180, 65, 1.13, 3.66, 0.0001304543, 0.0000009324, 14, 0.0000909042, 0.0000010939, 976, 1.29, 0.90
3, 0.0000113302, 0.0000000020, 7, 0.03, 0.18, 0.0000113302, 0.0000000020, 3, 0.0000113302, 0.0000000020, 3, 1.00, 1.00
4, 0.0000668688, 0.0000002866, 51, 1.20, 3.73, 0.0000899153, 0.0000010145, 3, 0.0000682810, 0.0000009192, 395, 1.34, 1.02
5, 0.0001095517, 0.0000003984, 87, 0.98, 3.51, 0.0002027619, 0.0000002089, 46, 0.0001132625, 0.0000014897, 1047, 1.85, 1.03
6, 0.0000029076, 0.0000000008, 2, 0.02, 0.78, 0.0000029076, 0.0000000008, 15, 0.0000029076, 0.0000000008, 15, 1.00, 1.00
7, 0.0000945490, 0.0000002411, 65, 0.74, 3.26, 0.0001533800, 0.0000001451, 34, 0.0000877419, 0.0000010880, 899, 1.62, 0.93
8, 0.0001058128, 0.0000004827, 69, 0.67, 3.19, 0.0002240849, 0.0000014821, 23, 0.0001669714, 0.0000022080, 1666, 2.12, 1.58
9, 0.0000023245, 0.0000000022, 2, 0.02, 2.04, 0.0000023245, 0.0000000022, 40, 0.0000023245, 0.0000000022, 40, 1.00, 1.00
10, 0.0001024101, 0.0000001824, 28, 0.20, 2.73, 0.0001024101, 0.0000001824, 6, 0.0000490637, 0.0000005538, 1051, 1.00, 0.48
11, 0.0000022378, 0.0000000003, 6, 0.03, 1.34, 0.0000022378, 0.0000000003, 26, 0.0000022378, 0.0000000003, 26, 1.00, 1.00
12, 0.0000043731, 0.0000000132, 7, 0.03, 0.99, 0.0000043731, 0.0000000132, 19, 0.0000043731, 0.0000000132, 19, 1.00, 1.00
13, 0.0000022714, 0.0000000090, 2, 0.02, 0.07, 0.0000022714, 0.0000000090, 1, 0.0000022714, 0.0000000090, 1, 1.00, 1.00
14, 0.0027891517, 0.0000016524, 46, 1.25, 1.30, 10000000000.0000000000, 0.0000000000, 1, 10000000000.0000000000, 0.0000000000, 1, 3585319550568.24, 3585319550568.24
15, 0.0001474560, 0.0000000000, 51, 0.43, 2.96, 0.0001542993, 0.0000000097, 36, 0.0000866447, 0.0000000077, 334, 1.05, 0.59
16, 0.0001903350, 0.0000000134, 18, 0.08, 2.60, 0.0001903350, 0.0000000134, 22, 0.0000625234, 0.0000000011, 200, 1.00, 0.33
17, 0.0000022777, 0.0000000009, 12, 0.05, 2.02, 0.0000022777, 0.0000000009, 39, 0.0000022777, 0.0000000009, 39, 1.00, 1.00
TOP: 100
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-100 time(s), Meta-100 std(s), trials-100, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-100, speedup-10k
0, 0.0000684372, 0.0000006384, 91, 0.97, 6.03, 0.0000983150, 0.0000005572, 98, 0.0000943525, 0.0000001843, 873, 1.44, 1.38
1, 0.0000212549, 0.0000000497, 7, 0.03, 0.08, 0.0000212549, 0.0000000497, 1, 0.0000212549, 0.0000000497, 1, 1.00, 1.00
